EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-05-2011
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
326  ,SAMOS AIRPORT                           ,GREECE                                  ,+37:42:00,+026:55:00,   2
327  ,SOUDA AIRPORT                           ,GREECE                                  ,+35:28:59,+024:07:00, 146
328  ,TROMSO                                  ,NORWAY                                  ,+69:39:14,+018:55:41, 100
329  ,ONA II                                  ,NORWAY                                  ,+62:51:34,+006:32:21,  13
330  ,FOKSTUA                                 ,NORWAY                                  ,+62:07:00,+009:16:59, 952
331  ,TORUNGEN FYR                            ,NORWAY                                  ,+58:22:59,+008:47:30,  12
332  ,LEBA                                    ,POLAND                                  ,+54:45:00,+017:31:59,   2
333  ,SIEDLCE                                 ,POLAND                                  ,+52:15:00,+022:15:00, 152
334  ,POPRAD/TATRY                            ,SLOVAKIA                                ,+49:04:00,+020:13:59, 694
335  ,BARCELONA                               ,SPAIN                                   ,+41:25:09,+002:07:31, 412
